average_daily_car_traffic,neighborhood
2386,Allegheny Center
477,Allegheny West
,Arlington
2224,Arlington
2347,Arlington
,Banksville
2046,Beechview
763,Beechview
1446,Beechview
,Beechview
1577,Beltzhoover
,Beltzhoover
15000,Bloomfield
377,Bloomfield
,Bloomfield
,Bloomfield
,Bloomfield
338,Bloomfield
,Bloomfield
,Bloomfield
1713,Bloomfield
1270,Bloomfield
7111,Bloomfield
271,Bloomfield
6984,Bloomfield
6984,Bloomfield
,Bloomfield
1120,Bloomfield
910,Bloomfield
,Bloomfield
77,Bloomfield
867,Bloomfield
79,Bloomfield
,Bluff
,Bluff
1455,Bluff
,Bluff
,Bluff
1363,Bluff
2547,Bluff
,Bluff
2697,Brighton Heights
2679,Brighton Heights
,Brighton Heights
2171,Brighton Heights
,Brookline
579,Brookline
9709,Brookline
7903,Brookline
567,Brookline
277,Brookline
8025,Brookline
1625,Brookline
,Brookline
493,Brookline
1468,Brookline
8498,Brookline
,California-Kirkbride
5259,California-Kirkbride
5843,California-Kirkbride
3824,California-Kirkbride
3913,Carrick
1468,Carrick
,Carrick
6417,Carrick
447,Carrick
,Carrick
,Carrick
434,Carrick
868,Carrick
240,Carrick
2305,Central Business District
,Central Business District
,Central Lawrenceville
5850,Central Lawrenceville
573,Central Lawrenceville
936,Central Lawrenceville
1786,Central Lawrenceville
,Central Lawrenceville
3454,Central Lawrenceville
900,Central Lawrenceville
1046,Central Northside
23,Central Northside
809,Central Northside
877,Central Northside
,Central Northside
,Central Northside
3190,Central Northside
7148,Central Oakland
,Central Oakland
,Central Oakland
382,Central Oakland
,Central Oakland
,Central Oakland
3776,Central Oakland
,Central Oakland
2571,Chartiers City
,Chateau
11500,Crafton Heights
,Crawford-Roberts
5831,Duquesne Heights
1924,East Allegheny
,East Hills
,East Hills
,East Hills
2465,East Hills
,East Hills
13788,East Hills
,East Hills
7700,East Liberty
5787,East Liberty
,East Liberty
4732,East Liberty
,East Liberty
,East Liberty
1163,East Liberty
483,East Liberty
